"rid","rdomain_label"
"1","0000000100000000010000000000000000010"
"2","0000000100000000010000000000000000010"
"3","0000000000000000010000001000000000010"
"4","1000000000000000010000000000000000100"
"5","0000000100000000110000000000000000000"
"6","0000000000001100000000000000010000000"
"7","0000000000001100000000000100000000000"
"8","0000000000001100000000000100000000000"
"9","0000000000000100010000001000000000000"
"10","1000000000000000010000000000000000010"
"11","0000000100000000010000000000000000010"
"12","0000000000001100000000000100000000000"
"13","0000000100000000010000000000000000010"
"14","0000000000000100000000001010000000000"
"15","0000000100000000010100000000000000000"
"16","0000000000001100000000000000000000100"
"32","0000000100000000010000000000000000100"
"33","0000000000000100110000000000000000000"
"34","1000000000000000010000000000000000010"
"35","0000000100000000010000000000000000010"
"36","0000000100000000110000000000000000000"
"37","0000000000001100000000000000010000000"
"38","0000000000000000110000000000000000010"
"39","0000000000000100110000000000000000000"
"40","0000000100000000010100000000000000000"
"42","0000000000001100000000000000010000000"
"43","0000000000000000110000000000000001000"
"44","0000000100000000010000000000000000010"
"45","0000000000000100110000000000000000000"
"46","0000000010001000000000000000010000000"
"47","0000000100000000010000000000000000010"
"48","0000000100000000010100000000000000000"
"49","0000000100000000010100000000000000000"
"50","0000000100000000010000001000000000000"
"51","0000000000000100110000000000000000000"
"52","0000000100000000010100000000000000000"
"53","0000000000001000000000000000001000010"
"54","0000000100000000010000000000000000100"
"55","0000000000000000010000000000000000010"
"56","0000000000000000010000001000000000000"
"57","0000000000000000010000100000010000000"
"58","1000000100000000010000000000000000000"
"59","0000000000000000110100000000000000000"
"60","0000000001000000010000000000000000000"
"62","0000000000000000111000000000000000000"
"63","0000000010000000010000000000010000000"
"64","0001010000000000000000000000010000000"
"65","0100001000000000000000000000000100000"
"66","0000000100100000010000000000000000000"
"67","0000000100000000010100000000000000000"
"68","0000000101000000010000000000000000000"
"69","0000000100000000010000000000000000010"
"70","0000000100000000010100000000000000000"
"71","0000001000000000000000000000000000011"
"72","0000000100000000010000000000000000010"
"73","0000000100000000010000000000000000010"
"74","0000000100000000000000000000000001010"
"75","0000000000000000000000000100000010010"
"76","1000000000000000010000000000000000100"
"77","1000000000000000010100000000000000000"
"78","0000000100000000010100000000000000000"
"79","0000000100000000110000000000000000000"
"80","1000001000000000000000001000000000000"
"81","0000000100000000010100000000000000000"
"82","0000000001000000010000000000000000010"
"84","0000000100000000010100000000000000000"
"85","0000001000000000000000000100100000000"
"86","0000000000000000010110000000000000000"
"87","0000000000000000010000001100000000000"
"88","0000000000000000010110000000000000000"
"89","0000000100000000110000000000000000000"
"90","0000000000000000010000001100000000000"
"91","0000000100000000110000000000000000000"
"92","0000000100000000010000000100000000000"
"93","0000000000000000010000001100000000000"
"94","0000000100000000010100000000000000000"
"96","0000000100000000010100000000000000000"
"97","0000000100000000000000001100000000000"
"98","0000000100000000010000001000000000000"
"99","0000000100000000010100000000000000000"
"100","0000000100000000010100000000000000000"
"102","0000000100000000010100000000000000000"
"103","0000000000000000000000000000000000000"
"104","0000000100000000010100000000000000000"
"105","0000000100000000010100000000000000000"
"106","0000000000000000010000000000000100010"
"107","0000000000000000000000000000000000000"
"108","0000000000000000000000000000000000000"
"109","0000000000000000010100001000000000000"
"110","0000000000000000010000000000100000100"
"111","0000000000000000010100000000000001000"
"112","0000000000000000000000000100000010010"
"113","0000000000000000010000001000000000010"
"114","0000000001100000010000000000000000000"
"115","0000000000000000000000000000000110010"
"116","1000000100000000010000000000000000000"
"117","0000000000000000010100000000000001000"
"118","0000000100000000010000000000000001000"
"120","0000000000000000010000000000000001010"
"121","0000000100000000010100000000000000000"
"122","0000000100000000010100000000000000000"
"123","0000000000000000110100000000000000000"
"124","0000000100000000010000000000000000010"
"125","1000000000000000010000000000000001000"
"126","0000000000000000010000000000000001100"
"127","0000000000000000010000000000000001100"
"128","0000000010000001000000000000010000000"
"129","0000000000000001010100000000000000000"
"130","0000000000000001010100000000000000000"
"131","0000000000100000010000000100000000000"
"132","0000000100000000010100000000000000000"
"133","0000000000000000010100000000000001000"
"134","0000000100000000010100000000000000000"
"135","0000000100000000010000000000000000010"
"136","0000000000000000010000000000000001100"
"138","0000000000000000010000000000000001100"
"139","1000000000000000010000000000000000100"
"140","0000000100000000010100000000000000000"
"141","0000000000000000010000001000000001000"
"142","0000000010000001000000000000000000001"
"143","1000000000000000010000000000000000010"
"144","0000000000000001010100000000000000000"
"145","0010000000000100000000000000000000010"
"146","0000000001100000010000000000000000000"
"147","0000000010000001000000000000010000000"
"148","0000000100000000010100000000000000000"
"150","0000000100000000010100000000000000000"
"151","0000000000000000010000001000000001000"
"152","0000000000000001010100000000000000000"
"153","0001000011000000000000000000000000000"
"154","0000000100000000010100000000000000000"
"155","0000000000000000010100001000000000000"
"156","0000000010000000010000000000000100000"
"157","1000000100000000010000000000000000000"
"158","1000000000000000010000000000000000100"
"159","0000000000000000000000000000001001100"
"160","0000000010000000010000000000000100000"
"161","0000000000000000010100000000000000010"
"162","1000000000000000010000000000000001000"
"163","0000000001000000010000000000000001000"
"164","0000000000000000111000000000000000000"
"165","0000000010000001000000000000010000000"
"166","0000000100000000010100000000000000000"
"167","0000000100000000010100000000000000000"
"168","0000010010000001000000000000000000000"
"169","0000000100000000010100000000000000000"
"170","0000000100000000010100000000000000000"
"171","0000000000000000010000001000000001000"
"172","0000000000000000010100000000000000010"
"173","1000000000000000010000000000000001000"
"174","0000000000000000010000001100000000000"
"175","1000000000000000010000000000000001000"
"176","0000000000000000010100000000000001000"
"177","0000000000000000010100000000000001000"
"178","0000000000000000110000000000000001000"
"179","0000000100000000010100000000000000000"
"180","0000000000000100000000001000010000000"
"181","1000000000000000010000000000000000100"
"182","0000000100000000010100000000000000000"
"183","0000000010100001000000000000000000000"
"184","0000000000000001010100000000000000000"
"185","1000000000000000110000000000000000000"
"186","0001010000000000000000000000010000000"
"187","0000000100000000010100000000000000000"
"188","0000000000000000111000000000000000000"
"189","0000000000000001010100000000000000000"
"190","0000000000000000010000001000000000010"
"191","0001010000000000000000000000010000000"
"192","0000000000000001010100000000000000000"
"193","0000000000000001010100000000000000000"
"194","1000000000000000010000000000000000010"
"195","0000000000000000010000001000010000000"
"196","0000000000000000010000000000000001100"
"197","0000000001100000010000000000000000000"
"198","0000000010000001010000000000000000000"
"199","0000000000000000010000000000110000000"
"200","0010000000000100000000000000010000000"
"202","0000000000000000010000001000000000010"
"203","0000000000000000010100000000000001000"
"204","0000000100000000010000000000000001000"
"205","0000000001000000010000000000000001000"
"206","0000000100000000110000000000000000000"
"207","0000000000000000010110000000000000000"
"208","0000000010000001000000000000000000100"
"209","0000000100000000010100000000000000000"
"210","1000000000001000000000000000010000000"
"211","1000000000000000010000000000000000010"
"212","0000000100000000110000000000000000000"
"213","1000000010000000000000000000010000000"
"214","1000000010000000000000000000010000000"
"215","0001010000000000000000000000010000000"
"216","0001010000000000000000000000010000000"
"217","0000000100000000010100000000000000000"
"218","0000000010000001010000000000000000000"
"219","0000000000000001010100000000000000000"
"220","0000000000000001010100000000000000000"
"221","1000000010000000000000000000010000000"
"222","0000000100000000110000000000000000000"
"223","0000000010100001000000000000000000000"
"224","0000000000000000010000000100000000100"
"225","0000000000000001010000000000010000000"
"226","0000000000000000010000000000000001100"
"227","0000000000000001010100000000000000000"
"228","0000000100000000010000000000000000010"
"229","0000000000000000010100000000000001000"
"230","0000000100000000010100000000000000000"
"231","0000000100000000010000000000000001000"
"232","1000000000000000010000000000000000010"
"233","0000000000000000111000000000000000000"
"234","0000000100000000010000000000000000010"
"235","0000000001000000010000000000100000000"
"236","1000000000000000010000000000000000100"
"237","0000000100000000010000000000000001000"
"238","1000000000000000010100000000000000000"
"239","1000000000000000010000000000000000010"
"240","0000000000001100000000000000010000000"
"241","1000000000000000010000000000000000010"
"242","1000000100000000010000000000000000000"
"243","0000000000000001010100000000000000000"
"244","0000000100000000010100000000000000000"
"245","0000000100000000010100000000000000000"
"246","0000000000000000010000000000000001100"
"247","0000000100000000010100000000000000000"
"248","0000000100000000110000000000000000000"
"249","0000000000000000010000000000110000000"
"250","1000000000000000010000000000000001000"
"251","0000000010000001010000000000000000000"
"252","1010001000000000000000000000000000000"
"253","0000000100000000010100000000000000000"
"254","1000000000000000010000000000000000100"
"255","1000000000000000110000000000000000000"
"256","1000000000000000000000000001010000000"
"257","1000000010000000000000000000010000000"
"258","1000000000000000010000000000000000010"
"259","0000000010000001010000000000000000000"
"260","0000000000000000010100000000000001000"
"261","0000000100000000010100000000000000000"
"262","0000000100000000010100000000000000000"
"263","0000000000000001010000000000010000000"
"264","0000000100000000010100000000000000000"
"265","0000000000000000000000001110000000000"
"266","0000000000000000010000001000000000010"
"267","0001010000000100000000000000000000000"
"268","0000000000000000000000000111000000000"
"269","0000000000000000000001001100000000000"
"270","1000000000000000000000000101000000000"
"271","0000000100000000000000000001000000010"
"272","0000000000000000000001001100000000000"
"273","0000000000000000010000000000000001100"
"274","1000000000000000010000001000000000000"
"275","1000000000000000010100000000000000000"
"276","0000001000000000000010000100000000000"
"277","0000001000000000000010000100000000000"
"278","0000000000000000111000000000000000000"
"279","0000000000000000000010000000000000000"
"280","0000000000000000100010001000000000000"
"281","0000000000000000100010001000000000000"
"282","0000000000000000000010000100100000000"
"283","0000000000000000010100000100000000000"
"284","0000001000000000000010000100000000000"
"285","1000000000100000010000000000000000000"
"286","0000001000000000000010000100000000000"
"287","0000001000000000000000000100100000000"
"288","0000000001000000010000001000000000000"
"289","0000000100000000010100000000000000000"
"290","0000000001100000010000000000000000000"
"291","0000001000000000000010000100000000000"
"292","0000000000000000110000000000000000010"
"293","0000001000000000000000000100100000000"
"295","0000001000000000000010000100000000000"
"296","0000000000000000010000001010000000000"
"297","0001000000000000010100000000000000000"
"298","0000010000000000000100000100000000000"
"299","0000001000000000000000000100100000000"
"300","1000000000000000010100000000000000000"
"302","0000000000000000000000001101000000000"
"304","0001010000000000000100000000000000000"
"305","0000001000000000000000000100100000000"
"306","0000000000000000010000001000010000000"
"307","1000000000000000010100000000000000000"
"308","0000001000000000000010001000000000000"
"309","1000000000000000010100000000000000000"
"310","0001000000000000010100000000000000000"
"311","0000000000000000010000001100000000000"
"313","0000001000000000000010000100000000000"
"314","0001000000000000110000000000000000000"
"315","0000000000000000010000001100000000000"
"316","0001010000000000000100000000000000000"
"317","0000000100000000000000000000000000110"
"318","0000000000000000010000001100000000000"
"319","0000000100000000010100000000000000000"
"320","0000000000100000010000000100000000000"
"321","0000000000000000010110000000000000000"
"322","0000010000000000000000010000010000000"
"323","0000000000000000100000000001000000010"
"324","0000000100000000010100000000000000000"
"325","0000000000000000010000001000000001000"
"326","0000000100000000010000001000000000000"
"327","0000000100000000110000000000000000000"
"328","0000000000000000110000001000000000000"
"329","0000001000000000000000010000010000000"
"330","0000000100000000010100000000000000000"
"331","0000000100000000000000001100000000000"
"332","0000000000000000010100000000000000010"
"333","0000000000000000010100000000000000010"
"334","0000000000000000010000001100000000000"
"335","0000000000000000000000000100010000010"
"337","0000000000000000010000001010000000000"
"338","0000010000100000010000000000000000000"
"339","0000000001100000010000000000000000000"
"340","0000000000000100000000001000000000010"
"341","0001000000000000000000100000010000000"
"342","1010010000000000000000000000000000000"
"343","0000000100000000010100000000000000000"
"344","0000000100000000010000001000000000000"
"345","0000000000000000010000001000100000000"
"346","0000000100000000010000001000000000000"
"347","0000001000000000000000001000100000000"
"348","0000000000000000010110000000000000000"
"349","0001010000000000010000000000000000000"
"350","0000000010100000010000000000000000000"
"352","0000000000000000010000001000010000000"
"353","0000010001000000010000000000000000000"
"354","0000000010100000010000000000000000000"
"355","0000010001000000010000000000000000000"
"356","0000000000000000010110000000000000000"
"357","0000000000000000010110000000000000000"
"358","0000010000100000010000000000000000000"
"359","0000000000000000010100001000000000000"
"360","0000000100000000010000000000010000000"
"361","0000000000000000010100001000000000000"
"362","0000000000000000010100001000000000000"
"363","0000010001000000010000000000000000000"
"364","0000000100000000010100000000000000000"
"365","0000010000100000010000000000000000000"
"366","0000000000000000010000001000010000000"
"367","0000000000000000010100000000000001000"
"368","0000000000000000010100001000000000000"
"369","0000000000000000010000001000000001000"
"370","0000000000000000010100000000000001000"
"371","0000000100000000010100000000000000000"
"372","0000010001000000010000000000000000000"
"373","0000010001000000010000000000000000000"
"374","1000000000000000010000000000000000100"
"375","1000000000000000010100000000000000000"
"376","0000000100000000010100000000000000000"
"377","0000000100000000010100000000000000000"
"378","0000000000001000000000000100010000000"
"379","0000000100000000010100000000000000000"
"380","0000000100000000010100000000000000000"
"381","0000000000000000000000000000001001010"
"382","0000000000000000010000000000010000010"
"383","0000000100000000010100000000000000000"
"384","0000000001100000010000000000000000000"
"385","0000000000000100000000001010000000000"
"386","0000000000000000000000001001000000010"
"387","0000000000000000010000000100000000100"
"388","0000000100000000010100000000000000000"
"389","0000000000000000010000001000010000000"
"390","0000000100000000010100000000000000000"
"391","0000000100000000010000000000000000010"
"392","0000000000000000010000001100000000000"
"393","0000000100000000010100000000000000000"
"394","0000000100000000110000000000000000000"
"395","0000000100000000010100000000000000000"
"396","0000000100000000010100000000000000000"
"397","0000000100000000110000000000000000000"
"398","0000000000000000010000001100000000000"
"399","0000000001100000010000000000000000000"
"400","1000000000000000010000000000000000100"
"402","0000000000000100000000001000000000010"
"403","0000000000000000010000000100000000100"
"404","0000000000000000010000000000000001100"
"405","1000000000000000010100000000000000000"
"406","0000000000000100000000000100010000000"
"407","0000010010000000100000000000000000000"
"408","0000000000001100000000000010000000000"
"409","0000000000000000010000001100000000000"
"410","0000000100000000010100000000000000000"
"411","0000000000000000100000000000001000010"
"412","0000000000000100110000000000000000000"
"413","0000000100000000010000000000000000010"
"414","0000000000000000000000000000001001010"
"415","0000000000000000010000000010000000010"
"416","0000000000000000010000000000000000110"
"417","1000000000000000010000001000000000000"
"418","0000000100000000000000000001000000010"
"419","0000000100000000010100000000000000000"
"420","0000010000000000010000001000000000000"
"421","0000000000000000111000000000000000000"
"422","1000000000000000010000000000000000100"
"423","0000000100000000010000000000000000100"
"424","0000000000100000010000000000000000100"
"425","0000001011000000000000000000000000000"
"426","0000000000000000110100000000000000000"
"427","1000000100000000010000000000000000000"
"428","0000000000000000010000001100000000000"
"429","0000000000000100000000001000010000000"
"430","0000000000000100000000001100000000000"
"431","0000000000000000110100000000000000000"
"432","0000000100000000000000000001000000010"
"433","0000000000000100010100000000000000000"
"434","0000001100000000000000000000010000000"
"435","0000000000001100000000000000000000001"
"436","0000000000000000010100000100000000000"
"437","0000000000000000000000001010100000000"
"438","0000000100000000010100000000000000000"
"439","0000000000001100000000000000000000001"
"440","0000000000000000000000000000001000110"
"441","0000000100000000010100000000000000000"
"442","0000000000000100110000000000000000000"
"443","0000000000000100110000000000000000000"
"444","0000000100000000010100000000000000000"
"445","0000000000000000000000000010010000010"
"446","0000000100000000010100000000000000000"
"447","0000000000000000000000000000001000011"
"448","0000000000000000000000000001010000010"
"449","0000000100000000100000000000000000010"
"450","0000000100000000010000000000000000010"
"452","0000001000000000000000001100000000000"
"453","0000000100000000010100000000000000000"
"454","0000000100000000010000000100000000000"
"455","0000000100000000010000000000000000010"
"456","0000000100000000010100000000000000000"
"457","0000000000000000000000000000001001010"
"458","0000000000000000010000001100000000000"
"459","0000000100000000010100000000000000000"
"460","0000000000000000010000001000000001000"
"461","0000000100000000010100000000000000000"
"462","0000000000000000010000001100000000000"
"463","0000000000000000010000001100000000000"
"464","1000000000000000010100000000000000000"
"465","0000000000000000010110000000000000000"
"466","0000000000000000010100001000000000000"
"467","0000000000100000010000100000000000000"
"468","0000000000000000010100001000000000000"
"469","0000000000000000010100001000000000000"
"470","0000000100000000010000001000000000000"
"471","0000000100000000010100000000000000000"
"472","0000000000000000010100000000000001000"
"473","0000000000000000010110000000000000000"
"474","0000000100000000010100000000000000000"
"475","0000000000000000010110000000000000000"
"476","0000000000000000010000000000000001100"
"477","0000000000000000010100001000000000000"
"478","0000000000000000010100001000000000000"
"479","0000000000000000010000001000000000010"
"480","0000000100000000010100000000000000000"
"481","0000000000000000010100000000000000010"
"482","0000000000000000010000001100000000000"
"483","1000000000000000010000000000000000100"
"484","0000000000000000010100000000000001000"
"485","0000000000000000000000100000000110000"
"486","0000000000000000010100000000000001000"
"487","0000000000000000010000001000000000010"
"488","0000000000000000000000000111000000000"
"489","0000000000000000010000000000010000010"
"491","0000000000000000010000001100000000000"
"492","0000000000000000010100000000000001000"
"493","0000000000000000010000000000000001100"
"494","0000000000000000010100000000000001000"
"495","0000000000000000000000000111000000000"
"496","0000000000000000010000000000000001100"
"497","0000000000000000010100000000000001000"
"498","0000000000000000010100001000000000000"
"499","0000000000000000110000000100000000000"
"500","0000001000000000000000000100010000000"
"501","0000000000000000010000000000000001100"
"502","0000000100000000010000000000000001000"
"503","0000000001100000010000000000000000000"
"504","0000000000000000010000001100000000000"
"505","0000000100000000010100000000000000000"
"506","0000000100000000110000000000000000000"
"507","0000000000000000010110000000000000000"
"508","0000001000000000000000000000000000011"
"509","0000000001100000010000000000000000000"
"510","0000000100000000010000000000000000010"
"512","0000000000000000111000000000000000000"
"513","0000000100000000010100000000000000000"
"514","0000000000000000111000000000000000000"
"515","0000000000000000010100000000000001000"
"516","0000000100000000010100000000000000000"
"517","0000000100000000010100000000000000000"
"519","0000000000000000010000001100000000000"
"520","0000000000000000010000000000000001100"
"521","0000000100000000010100000000000000000"
"522","1000000000000000010000000000000000010"
"523","0000000100000000010100000000000000000"
"525","0000000100000000010100000000000000000"
"526","0000000000000000010100000000000000010"
"527","0000000100000000010000000000000001000"
"528","0000000100000000010100000000000000000"
"529","0000000000000000010000000000000001100"
"531","0000000100000000010100000000000000000"
"532","0000000000000000010110000000000000000"
"533","0000000001100000010000000000000000000"
"534","0000000000000000010100001000000000000"
"535","0000000000000000010110000000000000000"
"536","0000000000000000010110000000000000000"
"538","0000000000000000010100000000000001000"
"539","0000000000000001010100000000000000000"
"540","0000010000000000010000000000000100000"
"541","0000000100000000010100000000000000000"
"542","0000000010000001010000000000000000000"
"543","0000000100000000110000000000000000000"
"544","0000000000000000010000000000000001100"
"545","0000000100000000010100000000000000000"
"546","0000000000000000010000000000000001100"
"547","0000000000000000010100000000000000010"
"548","0000000000000000010000001100000000000"
"549","0010000000000100000000000000010000000"
"550","0010010000000100000000000000000000000"
"551","0000000000000000010000001000000000010"
"552","1000000000000100000000000000000000100"
"553","1010000000000100000000000000000000000"
"554","0010000000000100100000000000000000000"
"555","0010000000000100000000000000010000000"
"556","1000000000000000010000000000000001000"
"557","0000000000000000010000000000000001100"
"558","0001010000000100000000000000000000000"
"559","0000000000000100000000001000010000000"
"560","0010000000000100000000000100000000000"
"561","0000000000000100010100000000000000000"
"562","0000000000000100000000001000000000010"
"563","0010010000000100000000000000000000000"
"564","0010000000000100000000000000000000010"
"565","0010000000000100000100000000000000000"
"566","0000000100000000010100000000000000000"
"567","0000000000000000000000000100010000010"
"568","0000000000000000110000000100000000000"
"569","0000000000000000000000000111000000000"
"570","0000000000000000000000000111000000000"
"571","0000000000000100000000000100000000010"
"572","0000000000000000010000001100000000000"
"573","0000000000000000010000001000000001000"
"574","0000000000000000010000001000000001000"
"575","0000000000000000010000001100000000000"
"576","0000000001000000010000000000000001000"
"577","0000000000010000000000001100000000000"
"578","0000000000000001010100000000000000000"
"579","1000010000000000000010000000000000000"
"580","0000000000010000000000000100000000000"
"581","0000000011100000000000000000000000000"
"582","0000000100000000010100000000000000000"
"583","0000010000000100000000000000000000010"
"584","0000000000000000010110000000000000000"
"585","1000000000000000010100000000000000000"
"586","0000000100000000010100000000000000000"
"587","0000000000000000010100001000000000000"
"588","1000000001000000010000000000000000000"
"589","0000000000000000010000001100000000000"
"590","0000000000000000010100000100000000000"
"592","0000001000000000010000001000000000000"
"593","0000000000000000110100000000000000000"
"594","0000000100000000010100000000000000000"
"596","0000010001000000010000000000000000000"
"597","0000000000000000010000001100000000000"
"598","0000001001000000010000000000000000000"
"599","0000000000100000010000000100000000000"
"600","0000000000000000010000001100000000000"
"601","0000000000000000010000001100000000000"
"603","0000000000000000010010001000000000000"
"604","0000000000000000010000001000010000000"
"605","1001001000000000000000000000000000000"
"606","0000010000000000010100000000000000000"
"607","0000000000000000010000001100000000000"
"608","0000001000000000010000010000000000000"
"609","0000000000000000010000001000010000000"
"610","0000010000000000010000010000000000000"
"611","0000010001000000010000000000000000000"
"612","0000000000100000010000000100000000000"
"613","0000001001000000010000000000000000000"
"614","0000000000000000010000001000100000000"
"615","0000000000000000010100010000000000000"
"616","0000000000000000010100001000000000000"
"617","0000000100000000010100000000000000000"
"618","0000000100000000010100000000000000000"
"619","0000000100000000010100000000000000000"
"620","0000000100000000010100000000000000000"
"621","0000000001100000010000000000000000000"
"622","0000000100000000010000000001000000000"
"623","0000000001000000010000000100000000000"
"624","0000001000000000010100000000000000000"
"625","0000000000000000010110000000000000000"
"626","0000000000000000010110000000000000000"
"627","0000000100000000010100000000000000000"
"628","0000000000000000010000001100000000000"
"629","0000000100000000010000001000000000000"
"630","0000001000000000010000001000000000000"
"631","0000001000000000010000000100000000000"
"632","0000000000000000010000001000010000000"
"633","0000000000000000010000001010000000000"
"634","0000001000000000010000001000000000000"
"635","1000000000000000000000000100010000000"
"636","0000000000000000010110000000000000000"
"637","0000001000000000001000000000100000000"
"638","1000000001010000000000000000000000000"
"639","0000000000000000010000001010000000000"
"640","0000000000000000010110000000000000000"
"642","0000000000000000010000001100000000000"
"643","0000000000000000010110000000000000000"
"644","0000000000000000010000001100000000000"
"645","0000000000000001010100000000000000000"
"648","0000001000000000010000001000000000000"
"649","0000000000100000010000000100000000000"
"650","0000000010000000010000000000010000000"
"651","0000000100000000010100000000000000000"
"652","0000000100000000010100000000000000000"
"653","0000000100000000010000000000010000000"
"654","0000000000000000010000000000000001100"
"655","0000000000000000010000001100000000000"
"656","0000000000000000010110000000000000000"
"657","0000000000000000010000001000100000000"
"658","0000000000000000010100000100000000000"
"659","0000000000000000010000001100000000000"
"660","0000000000100000010000000100000000000"
"661","0000000001000000010100000000000000000"
"662","0000001000000000010000000100000000000"
"663","0000000000000000010110000000000000000"
"664","0000000000000000010000000100010000000"
"666","0000000100000000010100000000000000000"
"667","0000000100000000010000000000000000100"
"668","0000000000000000010000001100000000000"
"669","0000000000000000010110000000000000000"
"670","1000000000000000010100000000000000000"
"671","0000001001000000010000000000000000000"
"672","0000000000000000111000000000000000000"
"673","0000000100000000010100000000000000000"
"674","0000000100000000010100000000000000000"
"675","0000000100000000010100000000000000000"
"676","0000000000000100110000000000000000000"
"677","0000000100000000010000001000000000000"
"678","0000000000000000100000000001000000010"
"679","0000000000000000010000001100000000000"
"680","0000000000000000010110000000000000000"
"681","0000000100000000010100000000000000000"
"682","0000000000000000111000000000000000000"
"683","0000000100000000010100000000000000000"
"684","1000000000000000010000000000000000010"
"685","1000000000000000010000000000000001000"
"686","0000000000000000010100000000000000010"
"687","1000000000000000010100000000000000000"
"688","1000000000000000010000000000000000010"
"689","0000000000000000010000000000000001010"
"690","0000000000000000010000001000000000010"
"691","0000000100000000010100000000000000000"
"692","0000000100000000010100000000000000000"
"693","0000000001100000010000000000000000000"
"694","0000000000000000010100000000000001000"
"695","0000000000000000010100000000000001000"
"696","0000000100000000010100000000000000000"
"697","0000000000000000010100001000000000000"
"698","0000000000000000010000000000000001100"
"699","0000000000000000010100001000000000000"
"700","0000000001000000010000000000000000010"
"701","0000000100000000010100000000000000000"
"702","0000000100000000010100000000000000000"
"703","0000000000000000010000001000000000010"
"704","0000000100000000010100000000000000000"
"705","0000000000000000010000001100000000000"
"706","0000000100000000010100000000000000000"
"707","0000000100000000010100000000000000000"
